,title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source,year
1194,Naruto Shippuden the Movie,"Action, Adventure, Comedy, Fantasy",Studio Pierrot,1,2007-08-01,Movie,69.0,AniList,2007.0
1206,Danganronpa 3: The End of Hope's Peak High School - Hope Arc,"Action, Psychological, Sci-Fi, Thriller",Lerche,1,2016-09-01,Special,70.0,AniList,2016.0
1209,"Clannad: Another World, Kyou Chapter","Drama, Romance, Slice of Life",Kyoto Animation,1,2009-07-01,Ova,75.0,AniList,2009.0
1212,Sword Art Online the Movie -Progressive- Scherzo of Deep Night,"Action, Adventure, Fantasy, Romance",Aniplex,1,2022-10-01,Movie,76.0,AniList,2022.0
1216,Little Witch Academia: The Enchanted Parade,"Comedy, Fantasy",TRIGGER,1,2015-10-01,Movie,76.0,AniList,2015.0
1222,Rascal Does Not Dream of a Knapsack Kid,"Drama, Psychological, Romance, Supernatural",CloverWorks,1,2023-12-01,Movie,83.0,AniList,2023.0
1223,Naruto Shippuden the Movie: Blood Prison,"Action, Adventure, Mystery",Studio Pierrot,1,2011-07-01,Movie,71.0,AniList,2011.0
1231,Blue Exorcist: The Movie,"Action, Fantasy, Supernatural",Aniplex,1,2012-12-01,Movie,73.0,AniList,2012.0
1232,Children who Chase Lost Voices,"Adventure, Drama, Fantasy, Romance",Media Factory,1,2011-05-01,Movie,71.0,AniList,2011.0
1236,The Boy and the Heron,"Adventure, Drama, Fantasy, Supernatural",Studio Ghibli,1,2023-07-01,Movie,77.0,AniList,2023.0
1237,K: MISSING KINGS,"Action, Supernatural",Starchild Records,1,2014-07-01,Movie,74.0,AniList,2014.0
1238,Fullmetal Alchemist: The Movie - Conqueror of Shamballa,"Action, Comedy, Drama, Fantasy",bones,1,2005-07-01,Movie,70.0,AniList,2005.0
1241,Gintama: The Final Chapter - Be Forever Yorozuya,"Action, Comedy, Sci-Fi",Sunrise,1,2013-07-01,Movie,87.0,AniList,2013.0
1245,Tokyo Ghoul: [PINTO],"Drama, Horror, Supernatural",Studio Pierrot,1,2015-12-01,Ova,69.0,AniList,2015.0
1251,Date A Live: Date to Date,"Comedy, Ecchi, Romance, Sci-Fi",AIC Plus+,1,2013-12-01,Ova,70.0,AniList,2013.0
1253,One Piece Film: Gold,"Action, Adventure, Comedy, Drama, Fantasy",Toei Animation,1,2016-07-01,Movie,77.0,AniList,2016.0
1255,Date A Live Mayuri Judgement,"Action, Comedy, Ecchi, Fantasy, Mecha, Romance, Sci-Fi",AIC Plus+,1,2015-08-01,Movie,70.0,AniList,2015.0
1261,Colorful ~ The Motion Picture,"Drama, Slice of Life, Supernatural",Sunrise,1,2010-08-01,Movie,75.0,AniList,2010.0
1262,Hyouka: What Should Be Had,"Mystery, Slice of Life",Kyoto Animation,1,2012-07-01,Ova,72.0,AniList,2012.0
1264,the Garden of sinners Chapter 7: ……not nothing heart. (Murder Speculation Part B),"Action, Mystery, Romance, Supernatural, Thriller",ufotable,1,2009-08-01,Movie,82.0,AniList,2009.0
1267,Kase-san and Morning Glories,"Romance, Slice of Life",ZEXCS,1,2018-06-01,Ova,76.0,AniList,2018.0
1268,Fate/stay night: Unlimited Blade Works (Movie),"Action, Drama, Fantasy, Supernatural",Studio DEEN,1,2010-01-01,Movie,69.0,AniList,2010.0
1269,OVERLORD: The Sacred Kingdom,"Action, Adventure, Fantasy",MADHOUSE,1,2024-09-01,Movie,78.0,AniList,2024.0
1272,One Piece Film: Strong World,"Action, Adventure, Comedy, Drama, Fantasy",Toei Animation,1,2009-12-01,Movie,78.0,AniList,2009.0
1277,Naruto Shippuden the Movie: The Lost Tower,"Action, Comedy",Studio Pierrot,1,2010-07-01,Movie,70.0,AniList,2010.0
1284,the Garden of sinners Chapter 6: Fairy Tale. (Oblivion Recording),"Action, Mystery, Romance, Supernatural, Thriller",ufotable,1,2008-12-01,Movie,70.0,AniList,2008.0
1285,Jin-Roh: The Wolf Brigade,"Action, Drama, Psychological, Romance, Thriller",Production I.G,1,2000-06-01,Movie,76.0,AniList,2000.0
1289,Berserk: The Golden Age Arc I - The Egg of the King,"Action, Adventure, Fantasy, Supernatural",Horipro,1,2012-02-01,Movie,73.0,AniList,2012.0
1296,The Irregular at Magic High School The Movie: The Girl Who Summons the Stars,"Sci-Fi, Supernatural",8-bit,1,2017-06-01,Movie,72.0,AniList,2017.0
1302,Puella Magi Madoka Magica the Movie Part I: Beginnings,"Action, Drama, Fantasy, Mahou Shoujo, Psychological, Thriller",Aniplex,1,2012-10-01,Movie,80.0,AniList,2012.0
1303,Angel Beats!: Another Epilogue,"Drama, Supernatural",Aniplex,1,2010-12-01,Special,70.0,AniList,2010.0
1307,Children of the Sea,"Drama, Mystery, Supernatural",Studio 4°C,1,2019-06-01,Movie,72.0,AniList,2019.0
